Phase	cell_type_epi_custom	main_cell_type	n	nrel
G1	TC1	Epithelial	5	0.4159733777038269
G1	TC2	Epithelial	467	43.04147465437788
G1	TC3	Epithelial	720	61.43344709897611
G1	TC4	Epithelial	1407	82.95990566037736
G2M	TC1	Epithelial	613	50.998336106489184
G2M	TC2	Epithelial	353	32.534562211981566
G2M	TC3	Epithelial	228	19.453924914675767
G2M	TC4	Epithelial	121	7.1344339622641515
S	TC1	Epithelial	584	48.58569051580699
S	TC2	Epithelial	265	24.42396313364055
S	TC3	Epithelial	224	19.112627986348123
S	TC4	Epithelial	168	9.90566037735849
