comparison	TC	baseline	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
TC1_vs_TC	TC1	TC	TUBA1B	0	1.2572307599266006	0.945	0.486	0
TC1_vs_TC	TC1	TC	TOP2A	0	1.0758316138723818	0.696	0.119	0
TC1_vs_TC	TC1	TC	H2AFZ	0	1.064520181025659	0.924	0.476	0
TC1_vs_TC	TC1	TC	MKI67	0	0.9754350633065604	0.766	0.165	0
TC1_vs_TC	TC1	TC	BIRC5	0	0.7100277638947832	0.587	0.064	0
TC1_vs_TC	TC1	TC	MAD2L1	0	0.5466897191388944	0.537	0.062	0
TC1_vs_TC	TC1	TC	HMGB1	1.4080672212887791e-303	1.0274174763646415	0.986	0.83	3.0771901054044977e-299
TC1_vs_TC	TC1	TC	PCNA	1.641761653025254e-302	0.7866090059790769	0.7	0.174	3.58790591652139e-298
TC1_vs_TC	TC1	TC	CENPF	8.32765051358046e-300	1.0075800871271423	0.733	0.17	1.8199247432378738e-295
TC1_vs_TC	TC1	TC	TPX2	5.736307805230521e-299	0.675388947987537	0.58	0.089	1.253612707755078e-294
TC1_vs_TC	TC1	TC	HMGB2	5.75202573503274e-293	0.9257254571522189	0.734	0.211	1.257047704134055e-288
TC1_vs_TC	TC1	TC	GINS2	3.2877865754061766e-281	0.48304644433908817	0.484	0.052	7.185128781892659e-277
TC1_vs_TC	TC1	TC	MCM4	1.0764568896863139e-278	0.6076415494939	0.612	0.119	2.3524888867204704e-274
TC1_vs_TC	TC1	TC	TK1	4.916935407106594e-277	0.5255174502345848	0.52	0.069	1.0745470638690751e-272
TC1_vs_TC	TC1	TC	KIF20B	8.492729208773854e-274	0.5577796776069731	0.577	0.1	1.8560010412854382e-269
TC1_vs_TC	TC1	TC	SMC4	1.8291770202211056e-273	0.6127691829518469	0.654	0.151	3.997483459991204e-269
TC1_vs_TC	TC1	TC	SMC2	6.302000675358648e-268	0.5315025237955793	0.599	0.116	1.377239227592879e-263
TC1_vs_TC	TC1	TC	MCM3	5.152891324925324e-267	0.637789433034133	0.685	0.183	1.1261128701491803e-262
TC1_vs_TC	TC1	TC	BRCA2	1.5861667124518914e-263	0.605265745781292	0.557	0.094	3.4664087333923633e-259
TC1_vs_TC	TC1	TC	ATAD5	2.9207977419510625e-262	0.6087067061303019	0.604	0.121	6.383111385259852e-258
TC1_vs_TC	TC1	TC	HELLS	4.759668452828412e-262	0.5315334627806119	0.529	0.082	1.0401779436811212e-257
TC1_vs_TC	TC1	TC	PBK	2.072153704863066e-261	0.4031378540571657	0.406	0.029	4.528484706607745e-257
TC1_vs_TC	TC1	TC	PTTG1	1.9318404476624053e-256	0.8018821826546962	0.558	0.104	4.2218441143214203e-252
TC1_vs_TC	TC1	TC	NASP	7.2071871230973655e-245	0.5280440880749617	0.662	0.175	1.5750586738816983e-240
TC1_vs_TC	TC1	TC	MCM7	9.791336481546611e-244	0.593236025974273	0.699	0.211	2.1397986746771965e-239
TC1_vs_TC	TC1	TC	DTYMK	1.9090625262325455e-241	0.47933471976734	0.567	0.115	4.172065244828605e-237
TC1_vs_TC	TC1	TC	GMNN	9.484862514820447e-238	0.5021770971788685	0.54	0.102	2.0728218539888603e-233
TC1_vs_TC	TC1	TC	CDT1	3.739218393615754e-237	0.412456461361426	0.474	0.066	8.171687877407868e-233
TC1_vs_TC	TC1	TC	LMNB1	4.870130769580902e-236	0.4383814976147711	0.49	0.077	1.0643183783842103e-231
TC1_vs_TC	TC1	TC	RRM1	1.5334042923837801e-232	0.4944178333642259	0.537	0.104	3.351101740575513e-228
TC1_vs_TC	TC1	TC	RANBP1	2.6212452489612895e-227	0.7169171059873216	0.826	0.39	5.728469367080002e-223
TC1_vs_TC	TC1	TC	TYMS	3.6442206929372253e-224	0.4276080156730546	0.422	0.051	7.964079902345012e-220
TC1_vs_TC	TC1	TC	CCNB1	2.0392052653210015e-223	0.5953570034690241	0.456	0.07	4.4564791868325165e-219
TC1_vs_TC	TC1	TC	CDC20	1.762219321205453e-221	0.5125080051594255	0.462	0.071	3.851154104562397e-217
TC1_vs_TC	TC1	TC	CCNA2	7.846228650170787e-217	0.36729975225186984	0.36	0.03	1.7147148092083238e-212
TC1_vs_TC	TC1	TC	ORC6	8.932294046310113e-214	0.36048713852053177	0.408	0.049	1.952063540880612e-209
TC1_vs_TC	TC1	TC	LDHB	3.968273699202372e-212	0.8475075540142492	0.835	0.413	8.672265342236863e-208
TC1_vs_TC	TC1	TC	CDC6	8.585975098605963e-210	0.37583995385937247	0.386	0.043	1.8763789980493472e-205
TC1_vs_TC	TC1	TC	DNMT1	3.0511991509700448e-207	0.4782935182219362	0.571	0.144	6.668090624529936e-203
TC1_vs_TC	TC1	TC	KIF4A	2.3809582382394575e-205	0.36113968825173937	0.361	0.035	5.20334613384851e-201
TC1_vs_TC	TC1	TC	CENPW	2.532755079224852e-205	0.4493036853827634	0.482	0.09	5.535082950137991e-201
TC1_vs_TC	TC1	TC	SNRNP25	4.640887895566529e-205	0.4106790408354694	0.477	0.089	1.0142196406971093e-200
TC1_vs_TC	TC1	TC	ATAD2	7.488505690941497e-203	0.39951924927827	0.418	0.06	1.636538033698355e-198
TC1_vs_TC	TC1	TC	MCM6	7.172744202986318e-202	0.3885368698930839	0.379	0.045	1.56753151812063e-197
TC1_vs_TC	TC1	TC	PTMA	3.612762673116428e-200	0.6882255553928389	0.997	0.93	7.895331545828642e-196
TC1_vs_TC	TC1	TC	CEP55	4.416377208464505e-200	0.34487163251402897	0.35	0.033	9.65155075137833e-196
TC1_vs_TC	TC1	TC	MYBL2	1.142707679814839e-198	0.35942589177400475	0.361	0.039	2.4972733634673492e-194
TC1_vs_TC	TC1	TC	CENPK	1.930126548971739e-198	0.331479782766847	0.393	0.05	4.218098560122839e-194
TC1_vs_TC	TC1	TC	DEK	1.2525457437629447e-195	0.6452888488689082	0.938	0.667	2.7373134684195393e-191
TC1_vs_TC	TC1	TC	ECT2	3.6151879653626834e-194	0.5138982673537104	0.564	0.152	7.900631779503608e-190
TC1_vs_TC	TC1	TC	CLSPN	4.324095847928893e-194	0.36601184882654475	0.38	0.048	9.449879066063803e-190
TC1_vs_TC	TC1	TC	UBE2T	4.4845507476323106e-194	0.3788528048000172	0.418	0.065	9.80053720387565e-190
TC1_vs_TC	TC1	TC	ZWINT	1.533468858254973e-193	0.34019291253841294	0.39	0.052	3.351242842830418e-189
