cell_type_epi	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Stem	PLA2G2A	0	1.8620035481677109	0.81	0.298	0
Stem	OLFM4	0	1.7794675458810238	0.623	0.136	0
Stem	LEFTY1	0	1.3066405356326212	0.808	0.15	0
Stem	PIGR	0	1.118940570533609	0.971	0.874	0
Stem	LCN2	0	1.086703827408075	0.758	0.317	0
Stem	RPS6	0	1.0789566282062988	0.993	0.836	0
Stem	RPS3A	0	1.0447055204173303	0.961	0.726	0
Stem	REG1A	6.64147939111517e-82	1.019187582111689	0.184	0.062	1.4514289061343092e-77
Stem	RPL5	0	1.0117157897928153	0.921	0.577	0
Stem	RPSA	0	0.9973115575244009	0.95	0.604	0
Stem	RPL3	0	0.9835609589981207	0.988	0.845	0
Stem	RPL10A	0	0.9763834048170019	0.975	0.688	0
Stem	TXN	0	0.9550670956538763	0.977	0.784	0
Stem	RPS27A	0	0.9464623012714664	0.99	0.845	0
Stem	RPLP1	0	0.9371677370974192	0.991	0.917	0
Stem	RPS8	0	0.934681905021624	0.978	0.763	0
Stem	B3GNT7	0	0.9238645846759288	0.641	0.166	0
Stem	RPLP0	0	0.9144332250669618	0.967	0.676	0
Stem	TSPAN8	0	0.9134378213251497	0.986	0.8	0
Stem	RPS4X	0	0.9115296284549645	0.982	0.777	0
Stem	RPL10	0	0.909643041283593	0.977	0.841	0
Stem	RPL34	0	0.9045201970658998	0.989	0.877	0
Stem	NACA	0	0.9043837431091368	0.977	0.74	0
Stem	RPS14	0	0.9026489168256648	0.99	0.913	0
Stem	RPS7	0	0.8974924227104197	0.95	0.68	0
Stem	RPL9	0	0.8912870898432697	0.985	0.792	0
Stem	RPS24	0	0.8815771243614798	0.99	0.849	0
Stem	RPL6	0	0.8807042937444101	0.958	0.686	0
Stem	GPX2	0	0.8693179320665104	0.944	0.472	0
Stem	RPS12	0	0.8497877664631388	0.997	0.889	0
Stem	EEF1B2	0	0.8464879068663438	0.94	0.662	0
Stem	RPL13A	0	0.8418557531210711	0.992	0.901	0
Stem	RPL32	0	0.8290666431434555	0.99	0.848	0
Stem	RPS13	0	0.8268588198726692	0.945	0.624	0
Stem	RPL18A	0	0.823139586856674	0.972	0.707	0
Stem	NUPR1	0	0.8221233483085201	0.746	0.249	0
Stem	PRAC1	5.535558079755374e-300	0.8199009328181952	0.524	0.178	1.2097408627497395e-295
Stem	UQCRH	0	0.8150603221433083	0.941	0.613	0
Stem	RPL7A	0	0.8074675248057401	0.986	0.821	0
Stem	RPL23A	0	0.8058591000984552	0.971	0.761	0
Stem	RPS5	0	0.8056107716235585	0.97	0.75	0
Stem	RPL24	0	0.7987370317700306	0.979	0.779	0
Stem	RPL19	0	0.7898048698168316	0.982	0.861	0
Stem	RPS15A	0	0.7861038281087729	0.972	0.78	0
Stem	RPL23	0	0.7856410506483482	0.955	0.671	0
Stem	RPL14	0	0.7794769038698299	0.978	0.789	0
Stem	GOLM1	0	0.7769212063807742	0.907	0.471	0
Stem	ATP5MC1	0	0.7727627975938994	0.841	0.395	0
Stem	RPL7	0	0.7683727261759066	0.94	0.593	0
Stem	UGT2B17	1.633955156664328e-104	0.7682522179300662	0.474	0.272	3.5708455993742227e-100
Stem	RPS18	7.241595298657318e-307	0.766762849920473	0.997	0.912	1.5825782365685702e-302
Stem	PEBP1	0	0.7667466537707205	0.864	0.443	0
Stem	RPS19	2.8609577539867524e-300	0.7651171661143867	0.988	0.86	6.252337075562648e-296
Stem	RPS23	0	0.7621144961888717	0.966	0.708	0
Stem	RPS2	1.129134002338262e-297	0.7564897869735852	0.994	0.839	2.4676094487100375e-293
Stem	AGR2	0	0.753065567253608	0.989	0.701	0
Stem	RPS16	6.383723240052774e-305	0.7473472706798907	0.981	0.821	1.3950988768811333e-300
Stem	BTF3	0	0.7431932598146112	0.907	0.536	0
Stem	RPS9	8.572476435864349e-296	0.7405633708042154	0.945	0.725	1.873429000293795e-291
Stem	SLPI	0	0.7346058441220149	0.686	0.228	0
Stem	KLF5	0	0.732118353241872	0.941	0.625	0
Stem	YBX1	0	0.7223697262509658	0.94	0.612	0
Stem	ATP5MC2	0	0.7209982637629422	0.785	0.336	0
Stem	CD24	0	0.7180930434684616	0.956	0.568	0
Stem	RPL35A	1.2627475128367908e-295	0.7139657164037674	0.977	0.811	2.7596084145535226e-291
Stem	RPS3	0	0.7126398179031024	0.941	0.66	0
Stem	DMBT1	1.3283681581518797e-210	0.7119496933250986	0.38	0.117	2.903015772825118e-206
Stem	RPS27	7.724720749848117e-289	0.7003616358100833	0.99	0.892	1.6881604726718074e-284
