cell_type_imm	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
B cells	MS4A1	0	1.4576672513759092	0.847	0.013	0
B cells	CD83	0	1.2489924937246573	0.849	0.219	0
B cells	CD74	0	1.2463097570689867	0.999	0.623	0
B cells	BANK1	0	1.233846664175091	0.794	0.034	0
B cells	CD37	0	1.1480717142015884	0.924	0.395	0
B cells	HLA-DRA	0	1.1172868788513641	0.997	0.207	0
B cells	VPREB3	0	1.0074479006947472	0.634	0.033	0
B cells	CD79A	0	1.0027549545251877	0.862	0.303	0
B cells	TNFRSF13C	0	0.8932151662803138	0.648	0.049	0
B cells	CXCR4	0	0.891117376074827	0.982	0.557	0
B cells	SMIM14	0	0.8625450627884413	0.564	0.087	0
B cells	HLA-DPB1	0	0.8386055848082741	0.961	0.236	0
B cells	BTG1	0	0.7772449738953453	0.993	0.861	0
B cells	POU2F2	0	0.7728932091496866	0.653	0.205	0
B cells	IGHD	0	0.7677242979740718	0.378	0.006	0
B cells	CD79B	0	0.7449587142473691	0.598	0.171	0
B cells	CD52	0	0.7294395819893271	0.927	0.484	0
B cells	RPS23	0	0.7124888285631208	0.998	0.96	0
B cells	RPS27	0	0.7114922630712104	0.999	0.991	0
B cells	TCL1A	0	0.7076259763110363	0.301	0.006	0
B cells	RPS8	0	0.7025923156760476	0.999	0.987	0
B cells	EZR	0	0.6855398681058329	0.873	0.64	0
B cells	RPL13A	0	0.6816272056019015	1	0.992	0
B cells	RPS20	0	0.6798665411787823	0.997	0.945	0
B cells	RALGPS2	0	0.6775764692379331	0.575	0.16	0
B cells	REL	0	0.6775475406176992	0.86	0.437	0
B cells	IRF8	0	0.6348139429833148	0.539	0.079	0
B cells	NR4A2	0	0.6280873673362892	0.809	0.547	0
B cells	HLA-DPA1	0	0.6260672823607822	0.963	0.297	0
B cells	SMAP2	0	0.6241993159045537	0.83	0.513	0
B cells	RPS21	0	0.6234741037446465	0.987	0.934	0
B cells	RPL23	0	0.6212833909791318	0.979	0.906	0
B cells	RPL31	0	0.6187508064355629	0.931	0.749	0
B cells	RPL21	0	0.6185538147114942	0.999	0.986	0
B cells	RPL32	0	0.6172630891609181	1	0.995	0
B cells	RPL23A	0	0.6156587517548386	0.999	0.977	0
B cells	LAPTM5	0	0.5972062413145736	0.873	0.438	0
B cells	RPSA	0	0.5921044715447752	0.993	0.95	0
B cells	KLF2	0	0.59075971547571	0.757	0.451	0
B cells	FCMR	0	0.5841763709435058	0.524	0.119	0
B cells	RPL37	0	0.5827622665720678	1	0.99	0
B cells	RPL10A	0	0.5793488372296443	0.997	0.968	0
B cells	RPL18A	0	0.5772013110540977	0.996	0.975	0
B cells	HLA-DRB1	0	0.5742137033355108	0.799	0.199	0
B cells	RPL19	0	0.5702513029956471	0.999	0.991	0
B cells	RPS18	0	0.5663876850475962	1	0.996	0
B cells	RPS3A	0	0.5573175680083637	0.999	0.982	0
B cells	RPL12	0	0.5473558752961569	1	0.99	0
B cells	RPL9	0	0.5418904929570383	0.999	0.98	0
B cells	PAX5	0	0.5348470253377324	0.424	0.011	0
B cells	RPL30	0	0.5345704590061793	0.997	0.96	0
B cells	TXNIP	3.9016229548990726e-168	0.5309871909360888	0.842	0.711	8.526606805636433e-164
B cells	RPL27	0	0.5297577433429934	0.985	0.929	0
B cells	ZFAS1	0	0.5286243120097649	0.718	0.422	0
B cells	RPL34	0	0.5181367632719058	0.999	0.991	0
B cells	EEF1B2	0	0.5157857539930619	0.978	0.939	0
B cells	RPS10	0	0.5152631235942005	0.897	0.756	0
B cells	RPS13	0	0.5144337622948356	0.992	0.938	0
B cells	HLA-DQA1	0	0.514124212611995	0.587	0.129	0
B cells	RPS6	0	0.5136947117468491	1	0.993	0
B cells	RPS5	0	0.5114130324157218	0.998	0.982	0
B cells	TCF4	0	0.5073579468213469	0.498	0.188	0
B cells	HLA-DRB5	0	0.49704502270170536	0.71	0.148	0
B cells	LTB	0	0.49469706214578935	0.726	0.306	0
