cell_type_str	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
CB FBs	SFRP2	3.984064328214185e-278	2.5495292355924812	0.814	0.107	8.674503261820746e-274
CB FBs	MGP	4.555728342362898e-207	2.3336050241546342	0.998	0.644	9.919187319826738e-203
CB FBs	PLA2G2A	5.336153779472311e-173	1.994041480101012	0.449	0.035	1.1618407624045063e-168
CB FBs	CFD	3.914590397181442e-103	1.924728314968973	0.754	0.292	8.523237671783155e-99
CB FBs	CCDC80	1.2712763839462835e-237	1.7871856131534467	0.977	0.392	2.767950070766243e-233
CB FBs	C7	1.7075494561194254e-216	1.7427853359480476	0.716	0.115	3.717847430808825e-212
CB FBs	APOD	2.6130578132210215e-74	1.6675743662544715	0.495	0.144	5.68941077672613e-70
CB FBs	C3	0	1.636253874144637	0.921	0.116	0
CB FBs	ADH1B	4.278920079127731e-222	1.6317844269741055	0.781	0.14	9.316492688284809e-218
CB FBs	DPT	1.4968523209644902e-283	1.5921584258276509	0.827	0.113	3.2590965584359846e-279
CB FBs	IGFBP6	5.043525664401549e-93	1.5798123462021758	0.768	0.386	1.0981268429101493e-88
CB FBs	DCN	3.4533825589769244e-193	1.5707111206275954	0.998	0.403	7.519049845660457e-189
CB FBs	SFRP1	2.4316257245791554e-98	1.5315186580858056	0.476	0.112	5.294378690126195e-94
CB FBs	GSN	4.205216139450858e-130	1.4992665190537315	0.983	0.853	9.156017100426354e-126
CB FBs	FBLN1	3.380534200177074e-192	1.4225041134545988	0.981	0.397	7.360437114045543e-188
CB FBs	OGN	0	1.3467692614340694	0.835	0.073	0
CB FBs	SERPINE2	7.833809040378932e-115	1.320902495030686	0.747	0.269	1.7056552423617048e-110
CB FBs	EFEMP1	8.552419086613859e-126	1.241931000676129	0.722	0.232	1.8621182077284355e-121
CB FBs	IGF1	3.2067018426721515e-179	1.1694797454599972	0.645	0.103	6.981951922050076e-175
CB FBs	PLAC9	2.045917133362815e-96	1.0901191086984994	0.797	0.409	4.454575374470857e-92
CB FBs	PTGDS	2.348404103049425e-36	1.0814184816180465	0.468	0.218	5.113180253569513e-32
CB FBs	GPNMB	3.3513629027167306e-171	1.0737730565181485	0.775	0.198	7.296922448085138e-167
CB FBs	SLPI	1.02063097924309e-121	1.0659739275311249	0.263	0.01	2.22221983110598e-117
CB FBs	RARRES1	8.49084715317293e-90	0.9996704850935535	0.524	0.144	1.848712150660342e-85
CB FBs	PI16	1.1207062970861335e-184	0.9542338465406689	0.349	0.006	2.4401138206456385e-180
CB FBs	THBS4	1.1929234465921077e-134	0.9178268659602649	0.317	0.016	2.597352220264996e-130
CB FBs	SERPINF1	5.668043751433899e-116	0.9099119456673095	0.958	0.431	1.2341031659997028e-111
CB FBs	LUM	3.6402027465646337e-122	0.8842618818274532	0.998	0.422	7.9258134400951765e-118
CB FBs	IGHA1	0.04291888995102697	0.8653390442481284	0.432	0.378	1
CB FBs	COL14A1	3.164264170133795e-97	0.8499237129815504	0.904	0.494	6.889552377632312e-93
CB FBs	FBN1	8.89697517623587e-61	0.8497111525542316	0.841	0.529	1.937138405121836e-56
CB FBs	SFRP4	7.690088720010876e-60	0.796698998678561	0.397	0.103	1.674363017007968e-55
CB FBs	CILP	3.4550664493297046e-192	0.787608398599608	0.493	0.037	7.522716180125566e-188
CB FBs	TNXB	1.6440076786877158e-122	0.7779676326832047	0.541	0.111	3.5794979188067637e-118
CB FBs	ITM2A	6.838572129560541e-53	0.7750516491927333	0.509	0.198	1.4889623097692165e-48
CB FBs	SRPX	5.06469774730026e-112	0.7749624299723759	0.626	0.182	1.1027366405196855e-107
CB FBs	NFIA	2.3358458447404966e-103	0.7710220267014659	0.9	0.528	5.085837157753483e-99
CB FBs	SCARA5	1.408579788633344e-59	0.7569234909560104	0.449	0.14	3.06690077379138e-55
CB FBs	JCHAIN	0.006772006742007187	0.7560478061038625	0.344	0.286	1
CB FBs	SLIT3	9.346444202343538e-101	0.7500097816550169	0.699	0.236	2.0350012961762586e-96
CB FBs	S100A4	1.2110002023928048e-47	0.7343966349859927	0.846	0.59	2.636710740669854e-43
CB FBs	MFAP5	2.2459962254870816e-113	0.7160117184128091	0.309	0.025	4.8902075817530225e-109
CB FBs	ABI3BP	5.332437853769413e-133	0.7131736186228796	0.653	0.153	1.161031693901214e-128
CB FBs	C1R	3.905981413552806e-84	0.712650195423282	0.983	0.654	8.504493331728524e-80
CB FBs	FBLN2	1.6169526983561747e-36	0.7049528887349046	0.493	0.248	3.520591110130899e-32
CB FBs	IGKC	7.892429802942438e-4	0.6974451004118607	0.733	0.788	1
CB FBs	LTBP4	2.217743305251417e-43	0.6856967734424679	0.789	0.491	4.82869249852391e-39
CB FBs	OMD	1.402117464196279e-196	0.6766830268088365	0.489	0.033	3.0528303547945583e-192
CB FBs	PRELP	1.3889024573525341e-127	0.675319324815642	0.641	0.152	3.0240573203936725e-123
CB FBs	CYBRD1	3.0437147599135956e-92	0.674610955471908	0.837	0.426	6.627080146759872e-88
CB FBs	KRT24	6.69227164465097e-86	0.6691227998173441	0.154	0.001	1.4571083051898558e-81
CB FBs	SEMA3C	1.298495747020097e-66	0.6642803005219021	0.384	0.094	2.8272147899868573e-62
CB FBs	TIMP1	4.797948483032247e-72	0.6578203204888919	0.983	0.844	1.0446573232106112e-67
CB FBs	WISP2	3.878106858680437e-68	0.6326338783919034	0.259	0.036	8.443802063404915e-64
CB FBs	NUPR1	8.658577959540244e-75	0.6233069071943039	0.9	0.556	1.8852321791306975e-70
CB FBs	COL6A3	5.067680148954907e-80	0.604624525888767	0.956	0.489	1.1033859988319518e-75
CB FBs	CD248	1.0810376828165178e-57	0.6036786801832161	0.568	0.233	2.3537433467964043e-53
CB FBs	SHISA3	1.0625283694885907e-179	0.5945942422071231	0.353	0.008	2.3134430188875085e-175
CB FBs	CHRDL1	2.2864400113337022e-176	0.5823783160469078	0.451	0.032	4.9782658366768695e-172
CB FBs	SERPING1	1.8089796400592782e-68	0.5745444921067131	0.946	0.689	3.9386913703010663e-64
CB FBs	SCN7A	1.4558507286084409e-105	0.5620868572458291	0.432	0.066	3.169823791399158e-101
CB FBs	C1S	1.4277110594125053e-64	0.5583211874207163	0.983	0.601	3.108555289658848e-60
CB FBs	CLU	1.7427746775997022e-49	0.5445702136291408	0.601	0.253	3.7945433055378314e-45
CB FBs	UAP1	1.2730535254687868e-36	0.5255222193864068	0.42	0.186	2.7718194410031896e-32
CB FBs	SPRY2	1.0016842442680837e-42	0.5216688475995641	0.443	0.18	2.1809671050448985e-38
CB FBs	LRP1	3.805915306917257e-75	0.5190964459957188	0.91	0.482	8.286619397750945e-71
CB FBs	LGALS3	1.3281394182121191e-58	0.5180022912299171	0.923	0.776	2.891757955273247e-54
CB FBs	PCOLCE	9.699219245268722e-76	0.5177167191513186	0.879	0.423	2.1118110062723586e-71
CB FBs	OSR2	1.648423702337768e-73	0.5170341095591516	0.288	0.044	3.589112927100022e-69
CB FBs	CFH	2.7430161993953987e-27	0.5166602750498381	0.752	0.533	5.972369170943601e-23
CB FBs	S100A6	5.203979099576831e-44	0.5164727842493693	1	0.971	1.1330623693508634e-39
CB FBs	FNDC1	9.518107815333219e-37	0.510374763896096	0.367	0.138	2.0723776146325018e-32
CB FBs	BOC	6.713410699983783e-97	0.5080129074043057	0.511	0.125	1.4617109117074691e-92
CB FBs	S100A13	9.302162208290055e-48	0.5063432241756722	0.883	0.652	2.0253597776109936e-43
CB FBs	ADD3	6.142132800304493e-60	0.5058774529676645	0.768	0.413	1.3373265746102973e-55
CB FBs	TIMP2	4.988652036998748e-50	0.4922132998913029	0.944	0.752	1.0861792080157374e-45
CB FBs	S100A10	2.8492482394944537e-26	0.48898816330904826	0.866	0.714	6.203668191851274e-22
CB FBs	FGL2	4.384672921772306e-79	0.48890486981232484	0.378	0.073	9.546748352574842e-75
CB FBs	FSTL1	1.2216615689467113e-28	0.4868315588338894	0.866	0.654	2.6599237340676744e-24
CB FBs	ABCA9	9.281508346957559e-135	0.4862657802427187	0.395	0.038	2.0208628123830695e-130
CB FBs	ASPN	6.888741307972582e-67	0.4854703152252712	0.639	0.236	1.4998856449848702e-62
CB FBs	GREM1	6.291167411192886e-36	0.48493517014165155	0.424	0.159	1.3697758804390271e-31
CB FBs	TXNIP	2.345198016077313e-35	0.465718799616347	0.962	0.823	5.1061996404051334e-31
CB FBs	GAS1	1.5797526111631534e-77	0.44948614998358793	0.468	0.118	3.439595360285534e-73
