source_id	sample_origin	main_cell_type	n
p007	Normal	Epithelial	837
p007	Normal	Immune	344
p007	Normal	Stromal	27
p007	Tumor	Epithelial	1011
p007	Tumor	Immune	973
p007	Tumor	Stromal	60
p008	Normal	Epithelial	757
p008	Normal	Immune	550
p008	Tumor	Epithelial	570
p008	Tumor	Immune	2360
p008	Tumor	Stromal	406
p009	Normal	Epithelial	5635
p009	Normal	Immune	1336
p009	Normal	Stromal	114
p009	Tumor	Epithelial	3986
p009	Tumor	Immune	2874
p009	Tumor	Stromal	141
p012	Normal	Epithelial	1124
p012	Normal	Immune	3082
p012	Normal	Stromal	360
p012	Tumor	Epithelial	906
p012	Tumor	Immune	3149
p012	Tumor	Stromal	67
p013	Normal	Epithelial	1396
p013	Normal	Immune	2224
p013	Normal	Stromal	50
p013	Tumor	Epithelial	1125
p013	Tumor	Immune	2203
p013	Tumor	Stromal	96
p014	Normal	Epithelial	1961
p014	Normal	Immune	943
p014	Normal	Stromal	52
p014	Tumor	Epithelial	1277
p014	Tumor	Immune	1991
p014	Tumor	Stromal	233
p016	Normal	Epithelial	2709
p016	Normal	Immune	1114
p016	Normal	Stromal	71
p016	Tumor	Epithelial	967
p016	Tumor	Immune	1576
p016	Tumor	Stromal	376
p017	Normal	Epithelial	1475
p017	Normal	Immune	1464
p017	Normal	Stromal	91
p017	Tumor	Epithelial	1775
p017	Tumor	Immune	3192
p017	Tumor	Stromal	565
p020	Normal	Epithelial	658
p020	Normal	Immune	224
p020	Tumor	Epithelial	320
p020	Tumor	Immune	97
p021	Normal	Epithelial	1090
p021	Normal	Immune	77
p021	Tumor	Epithelial	132
p021	Tumor	Immune	1056
p021	Tumor	Stromal	67
p025	Normal	Epithelial	232
p025	Normal	Immune	411
p025	Normal	Stromal	61
p025	Tumor	Epithelial	414
p025	Tumor	Immune	680
p025	Tumor	Stromal	23
p026	Tumor	Epithelial	890
p026	Tumor	Immune	2532
p026	Tumor	Stromal	143
