sample_origin	main_cell_type	cell_type_epi_custom	cell_type_imm_custom	cell_type_str_custom	n	nrel
Normal	Epithelial	Stem	NA	NA	686	3.8379769497594274
Normal	Epithelial	Stem/TA 1	NA	NA	1599	8.945955018462572
Normal	Epithelial	Stem/TA 2	NA	NA	1643	9.192122636231398
Normal	Epithelial	Stem/TA 3	NA	NA	470	2.6295177352579167
Normal	Epithelial	Ent. Prog. 1	NA	NA	1784	9.980977956808774
Normal	Epithelial	Ent. Prog. 2	NA	NA	1979	11.071948081011525
Normal	Epithelial	Enterocytes 1	NA	NA	667	3.7316772966319793
Normal	Epithelial	Enterocytes 2	NA	NA	1678	9.387937786729328
Normal	Epithelial	Enterocytes 3	NA	NA	1535	8.587893028980641
Normal	Epithelial	Imma. Gob. 1	NA	NA	951	5.32057737495804
Normal	Epithelial	Imma. Gob. 2	NA	NA	1978	11.06635336242587
Normal	Epithelial	Goblet	NA	NA	1388	7.765469396889337
Normal	Epithelial	Tuft	NA	NA	573	3.205773749580396
Normal	Epithelial	TC1	NA	NA	621	3.474320241691843
Normal	Epithelial	TC2	NA	NA	139	0.7776658834060647
Normal	Epithelial	TC3	NA	NA	169	0.9455074409757189
Normal	Epithelial	TC4	NA	NA	14	0.07832606019917199
Normal	Immune	NA	B cells	NA	1219	10.35771943240717
Normal	Immune	NA	B cells 2	NA	314	2.6680261704477863
Normal	Immune	NA	GC B cells	NA	72	0.6117767015039511
Normal	Immune	NA	Plasma L 1	NA	1704	14.478715268926843
Normal	Immune	NA	Plasma L 2	NA	9	0.07647208768799389
Normal	Immune	NA	Plasma K 1	NA	1768	15.022516781374797
Normal	Immune	NA	Plasma K 2	NA	15	0.1274534794799898
Normal	Immune	NA	Plasma K 3	NA	971	8.25048857167134
Normal	Immune	NA	Plasma K 4	NA	388	3.296796669215736
Normal	Immune	NA	Plasma K 5	NA	624	5.302064746367576
Normal	Immune	NA	Plasma K 6	NA	74	0.6287704987679497
Normal	Immune	NA	Plasma K 7	NA	10	0.08496898631999321
Normal	Immune	NA	Treg	NA	264	2.2431812388478205
Normal	Immune	NA	Tconv 1	NA	1503	12.770838643894978
Normal	Immune	NA	Tconv 2	NA	604	5.13212677372759
Normal	Immune	NA	CD8+ T 1	NA	1381	11.734217010791061
Normal	Immune	NA	CD8+ T 2	NA	396	3.3647718582717303
Normal	Immune	NA	CD8+ T 3	NA	4	0.03398759452799728
Normal	Immune	NA	CD8+ T 4	NA	36	0.30588835075197557
Normal	Immune	NA	Mast	NA	102	0.8666836604639306
Normal	Immune	NA	Monocyte 1	NA	197	1.673889030503866
Normal	Immune	NA	Monocyte 2	NA	114	0.9686464440479224
Normal	Stromal	NA	NA	CB FBs	174	21.06537530266344
Normal	Stromal	NA	NA	UC FBs	82	9.927360774818402
Normal	Stromal	NA	NA	CAFs	1	0.12106537530266344
Normal	Stromal	NA	NA	CCL FBs	214	25.907990314769975
Normal	Stromal	NA	NA	Pericytes	17	2.0581113801452786
Normal	Stromal	NA	NA	MyoFBs 1	187	22.639225181598064
Normal	Stromal	NA	NA	MyoFBs 2	4	0.48426150121065376
Normal	Stromal	NA	NA	Glia	42	5.084745762711865
Normal	Stromal	NA	NA	Endothelial	105	12.711864406779661
Tumor	Epithelial	Stem	NA	NA	891	6.662678531369176
Tumor	Epithelial	Stem/TA 1	NA	NA	1042	7.791819337471023
Tumor	Epithelial	Stem/TA 2	NA	NA	312	2.333059149031631
Tumor	Epithelial	Stem/TA 3	NA	NA	530	3.963209451880655
Tumor	Epithelial	Ent. Prog. 1	NA	NA	842	6.296268600912286
Tumor	Epithelial	Ent. Prog. 2	NA	NA	1224	9.152770507739474
Tumor	Epithelial	Enterocytes 1	NA	NA	532	3.978164959246242
Tumor	Epithelial	Enterocytes 2	NA	NA	214	1.6002392881178495
Tumor	Epithelial	Enterocytes 3	NA	NA	94	0.7029088461826067
