cell_type_epi_custom	p007_Normal	p007_Tumor	p008_Normal	p008_Tumor	p009_Normal	p009_Tumor	p012_Normal	p012_Tumor	p013_Normal	p013_Tumor	p014_Normal	p014_Tumor	p016_Normal	p016_Tumor	p017_Normal	p017_Tumor	p020_Normal	p020_Tumor	p021_Normal	p021_Tumor	p025_Normal	p025_Tumor	p026_Tumor
Stem	4	22	13	20	189	434	62	50	69	52	97	82	170	91	48	91	16	9	13	2	5	15	23
Stem/TA 1	212	159	91	29	301	156	41	32	45	89	106	144	511	78	30	40	45	49	210	65	7	109	92
Stem/TA 2	128	18	77	4	586	143	23	26	21	11	88	41	439	12	55	36	69	3	151	NA	6	2	16
Stem/TA 3	1	NA	2	NA	6	188	116	89	141	60	110	NA	NA	NA	81	192	NA	NA	NA	NA	13	NA	1
Ent. Prog. 1	64	68	59	19	573	230	117	95	147	45	164	78	265	48	153	198	90	9	128	1	24	20	31
Ent. Prog. 2	99	29	72	1	434	491	202	87	173	86	198	89	250	67	208	274	173	25	137	1	33	15	59
Enterocytes 1	15	4	22	NA	29	174	59	71	168	49	122	21	86	29	67	147	75	NA	7	NA	17	1	36
Enterocytes 2	24	3	8	2	877	92	100	34	89	4	136	5	80	7	142	61	42	1	166	NA	14	NA	5
Enterocytes 3	33	21	18	1	579	22	77	13	103	3	154	4	258	7	114	12	59	1	109	1	31	4	5
Imma. Gob. 1	59	49	40	14	280	204	66	84	57	46	161	52	135	17	112	105	10	8	23	2	8	8	36
Imma. Gob. 2	102	104	184	152	592	299	103	78	104	82	293	174	283	61	213	243	19	25	53	4	32	41	160
Goblet	31	5	33	2	753	196	99	52	78	30	120	15	16	7	135	97	43	1	55	NA	25	3	8
Tuft	21	1	74	13	114	21	26	3	143	6	119	9	24	7	42	6	2	NA	5	NA	3	5	2
TC1	14	38	19	8	235	557	17	34	42	99	68	91	126	129	53	106	11	10	26	3	10	27	100
TC2	10	100	28	70	33	224	12	21	3	25	4	158	33	200	7	14	4	68	3	23	2	56	126
TC3	20	177	17	60	50	230	4	29	12	125	20	151	30	92	11	92	NA	82	4	21	1	29	84
TC4	NA	213	NA	175	4	325	NA	108	1	313	1	163	3	115	4	61	NA	29	NA	9	1	79	106
