cell_type_epi_custom	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Imma. Gob. 2	REG4	1.117867527961002e-230	1.6540836570589015	0.784	0.287	2.442987695605974e-226
Imma. Gob. 2	SPINK4	1.4114354182991584e-211	1.4858044775908494	0.962	0.739	3.0845509631509807e-207
Imma. Gob. 2	PHGR1	1.3668629838007589e-148	-0.7830446301481047	0.989	0.998	2.9871423647981783e-144
Imma. Gob. 2	CKB	7.969055157393657e-141	-0.7129684519751224	0.52	0.836	1.74155731409681e-136
Imma. Gob. 2	TGFBI	3.9336663304925e-136	0.4840987225976247	0.346	0.03	8.596634398658309e-132
Imma. Gob. 2	LCN2	5.25738947087455e-115	1.260278944595691	0.375	0.071	1.1489498949649241e-110
Imma. Gob. 2	ZG16	4.216503605146753e-112	-1.407948032692175	0.557	0.88	9.214746978687714e-108
Imma. Gob. 2	FCGBP	2.997630657204444e-104	-0.6665756774945026	0.979	0.995	6.551022038254592e-100
Imma. Gob. 2	REG1A	4.130686529700037e-95	2.2352661033908805	0.216	0.006	9.027202342006462e-91
Imma. Gob. 2	LYZ	2.739261744051637e-93	1.1601690352709828	0.445	0.153	5.9863826154504474e-89
Imma. Gob. 2	RNASE1	3.99543404068328e-88	-0.6433073967978723	0.451	0.735	8.73162155250924e-84
Imma. Gob. 2	HMGCS2	1.0679990342233081e-85	-0.5054317302423099	0.383	0.676	2.3340050893916176e-81
Imma. Gob. 2	TFF1	1.4714244191828166e-84	1.1477750360094807	0.411	0.137	3.2156509256821276e-80
Imma. Gob. 2	LGALS4	9.530487373787678e-83	-0.4979016396158178	0.969	0.995	2.082792710667559e-78
Imma. Gob. 2	TIMP1	2.4000107839458298e-78	0.35750259769846315	0.316	0.072	5.2449835672352165e-74
Imma. Gob. 2	ID3	7.906717915524515e-78	-0.5388856311137125	0.259	0.556	1.7279341332587277e-73
Imma. Gob. 2	HSD11B2	8.535851926429726e-78	-0.5338619924674016	0.528	0.743	1.8654250800019523e-73
Imma. Gob. 2	SYTL2	3.509375052008575e-75	-0.47736639779019874	0.513	0.746	7.66938823865954e-71
Imma. Gob. 2	PCK1	6.526206465127561e-75	-0.5049533785183932	0.28	0.573	1.4262371608889771e-70
Imma. Gob. 2	DPEP1	2.081856648549509e-74	0.2880812055777874	0.188	0.011	4.549689519740097e-70
Imma. Gob. 2	CAMK2N1	1.5165063016747768e-73	-0.4863318452136772	0.609	0.807	3.314172871680057e-69
Imma. Gob. 2	IL1R2	2.518364066435761e-70	-0.4306999964564648	0.16	0.429	5.503632830788712e-66
Imma. Gob. 2	KRT8	2.8213466737117246e-68	-0.4011437741012611	0.969	0.989	6.165771020729603e-64
Imma. Gob. 2	CPE	4.5008093122947945e-64	0.3074574653695838	0.212	0.032	9.836068671089044e-60
Imma. Gob. 2	FABP1	6.973603002399994e-64	-0.5921766269966818	0.213	0.507	1.5240112001444947e-59
Imma. Gob. 2	S100A11	8.3615260046862e-61	0.6510383063285474	0.781	0.578	1.8273278930641222e-56
Imma. Gob. 2	C10orf99	1.3498958073615637e-59	-0.38966949765102765	0.397	0.631	2.9500622974079614e-55
Imma. Gob. 2	PRDX5	2.7941235532113937e-59	-0.44170945330503386	0.779	0.867	6.10627761318818e-55
Imma. Gob. 2	SCD	4.605181390617483e-59	0.30296306938744266	0.232	0.049	1.0064163411055447e-54
Imma. Gob. 2	TESC	1.63925494870945e-58	0.16926154255015663	0.129	0.002	3.582427764909632e-54
Imma. Gob. 2	KLK11	1.5240796283541855e-57	0.20431828028029597	0.2	0.032	3.330723619805237e-53
Imma. Gob. 2	ID1	7.362773359991206e-57	-0.5447817489229743	0.33	0.574	1.6090604900924781e-52
Imma. Gob. 2	TFF3	5.276658114419881e-51	-0.390974378186173	0.999	1	1.1531608643253208e-46
Imma. Gob. 2	CA1	3.134826387601025e-50	-0.6775727823840816	0.03	0.205	6.85084958746328e-46
Imma. Gob. 2	IRS2	3.973503025158412e-48	0.35854052423205807	0.424	0.21	8.683693511181194e-44
Imma. Gob. 2	S100A9	7.626917390852859e-48	0.5092074817256955	0.117	0.005	1.6667865265969838e-43
Imma. Gob. 2	KLK1	2.3883726611399926e-47	-0.38289967465822916	0.866	0.935	5.21954961365534e-43
Imma. Gob. 2	CDC42EP5	2.979209003230441e-47	-0.30628100943078707	0.886	0.941	6.510763355659806e-43
Imma. Gob. 2	DUOX2	1.9195731140068828e-46	0.1957154779539687	0.107	0.003	4.1950350833506414e-42
Imma. Gob. 2	RARRES2	5.396026799294843e-46	-0.4182169484576844	0.111	0.308	1.179247696717895e-41
Imma. Gob. 2	TPM1	7.242296306684859e-46	-0.356581453995654	0.793	0.88	1.582731434862909e-41
Imma. Gob. 2	SLC4A4	4.464705227181228e-45	-0.3198892931145512	0.234	0.447	9.757166803481855e-41
Imma. Gob. 2	CLDN3	2.3969460157610943e-43	-0.36174771883002865	0.909	0.95	5.238285822844295e-39
Imma. Gob. 2	KLF4	3.876825147605301e-43	-0.3562497386758918	0.81	0.886	8.472413677576625e-39
Imma. Gob. 2	JUN	5.4622597090437435e-42	-0.4784582535737174	0.957	0.96	1.1937222368144196e-37
Imma. Gob. 2	PCCA	6.158086731609412e-42	0.5956299657830227	0.325	0.147	1.345788274325921e-37
Imma. Gob. 2	BEST2	1.2529365344989709e-40	-0.34689101183278254	0.3	0.506	2.738167502494051e-36
Imma. Gob. 2	S100P	1.3689476907332072e-40	0.29840773676520416	0.563	0.327	2.991698283328351e-36
Imma. Gob. 2	ZFP36L2	5.974151611457317e-40	-0.3873697698811096	0.875	0.921	1.305591093167882e-35
Imma. Gob. 2	JUNB	1.9783406934362973e-39	-0.3893725573021596	0.82	0.877	4.3234657514356843e-35
Imma. Gob. 2	FRYL	4.2640680030581734e-39	-0.30126663680130106	0.719	0.837	9.318694213883332e-35
Imma. Gob. 2	THBS1	5.5173079378868075e-39	-0.23821716650951494	0.073	0.242	1.2057524767457829e-34
Imma. Gob. 2	OR8D4	8.584847291751608e-38	-0.2010655633525891	0.016	0.144	1.8761325271393964e-33
Imma. Gob. 2	MT1E	1.7408011518975624e-37	-0.3386561355171236	0.584	0.789	3.804346837356933e-33
Imma. Gob. 2	SLPI	9.975359462822473e-37	0.3038861173197954	0.257	0.101	2.1800150570052234e-32
Imma. Gob. 2	WFDC2	1.0584863843329907e-36	-0.4705990331189063	0.74	0.817	2.313216144321318e-32
Imma. Gob. 2	FAM3D	1.1629182800995817e-36	-0.31347793611097297	0.874	0.945	2.5414416093296256e-32
Imma. Gob. 2	SNORC	5.076648058280886e-35	-0.2900191251400416	0.341	0.521	1.1094506666567048e-30
Imma. Gob. 2	PMEPA1	1.231832598192059e-34	0.18426223061922836	0.269	0.108	2.6920469600889257e-30
Imma. Gob. 2	PI3	1.2424048800190727e-34	0.41911667703193445	0.103	0.011	2.7151516247936815e-30
Imma. Gob. 2	SELENOP	1.474393199336801e-32	0.39225064043959373	0.396	0.228	3.2221388978306445e-28
