cell_type_imm_custom	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
CD8+ T 1	CD160	1.5506140712278195e-78	-0.3317412292832286	0.119	0.333	3.3887119912612767e-74
CD8+ T 1	ZG16	2.662466728769309e-75	-0.5918872689531919	0.032	0.172	5.818554789052448e-71
CD8+ T 1	RPL27	3.4014128250460215e-73	-0.30908935106333635	0.945	0.964	7.433447587855575e-69
CD8+ T 1	MT1G	5.017400719676295e-67	-0.3039056694055062	0.018	0.13	1.0965027532780574e-62
CD8+ T 1	RPL18A	1.71538685817373e-63	-0.3122285388288657	0.977	0.983	3.7488064398528693e-59
CD8+ T 1	TMIGD2	6.677681974803627e-54	-0.2733210869782106	0.134	0.309	1.4593406187735846e-49
CD8+ T 1	RPL5	8.278543219203354e-52	-0.2870388650637641	0.954	0.956	1.809192835124701e-47
CD8+ T 1	RPL34	4.882494482565411e-50	-0.20809109253121072	0.997	0.996	1.067020344219845e-45
CD8+ T 1	ZFP36	2.1384094564291088e-48	-0.3715628153104851	0.746	0.847	4.673280026080174e-44
CD8+ T 1	EEF1B2	3.431106025699313e-48	-0.2607122680618228	0.921	0.934	7.498339108563279e-44
CD8+ T 1	RPL32	5.145056936790394e-47	-0.207734203644653	0.999	0.998	1.1244007429661727e-42
CD8+ T 1	HSPA1A	2.707967629461649e-46	0.5162597198588834	0.658	0.453	5.917992457425488e-42
CD8+ T 1	JUNB	2.861104251418127e-46	-0.3721884255599277	0.948	0.95	6.252657231049175e-42
CD8+ T 1	RPS6	1.3650216327047643e-45	-0.23311067628287363	0.998	0.995	2.983118276112992e-41
CD8+ T 1	RPL9	1.5415076736357814e-45	-0.21189815156308356	0.989	0.993	3.368810869963637e-41
CD8+ T 1	RPS27A	5.120226722660935e-45	-0.18192161388485673	0.999	0.997	1.1189743479703207e-40
CD8+ T 1	RPS9	2.936406968424676e-42	-0.2394733255929491	0.959	0.961	6.417223788795287e-38
CD8+ T 1	FCGBP	4.3088405936533705e-42	-0.4075715122148368	0.048	0.155	9.416540233370076e-38
CD8+ T 1	RPL23A	1.6287837018099867e-41	-0.2184533287269388	0.995	0.994	3.559543901935545e-37
CD8+ T 1	RPSA	1.2268814883863855e-40	-0.2574693419383536	0.974	0.972	2.6812268047196068e-36
CD8+ T 1	RPL7	2.153479390231997e-40	-0.2560762753989523	0.848	0.887	4.706213859413006e-36
CD8+ T 1	RPLP0	2.856573861496616e-40	-0.28723354293876735	0.887	0.896	6.242756516914705e-36
CD8+ T 1	RPS20	3.015398432045432e-40	-0.22593181722457345	0.961	0.982	6.589851733392087e-36
CD8+ T 1	KIR2DL4	1.679227511215431e-39	-0.2226645416445143	0.075	0.194	3.6697838030102033e-35
CD8+ T 1	CD69	3.1026926476520976e-39	-0.356143182031216	0.707	0.82	6.780624512178894e-35
CD8+ T 1	RPS16	3.2892755757057994e-39	-0.20826912183554303	0.997	0.994	7.188382843147454e-35
CD8+ T 1	RPS13	1.117306049074532e-38	-0.22496744301394522	0.95	0.963	2.4417606396474822e-34
CD8+ T 1	HSPH1	1.965194995880592e-38	0.549388647240533	0.492	0.335	4.294737143997446e-34
CD8+ T 1	RPL21	2.8526660865749387e-38	-0.1917790177631562	0.995	0.994	6.234216465600871e-34
