cell_type_str_custom	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
UC FBs	COL12A1	4.775479147084192e-16	1.2988854421187916	0.651	0.122	1.0397650746946411e-11
UC FBs	IGFBP7	3.9949271973509594e-15	1.3474412587497528	0.953	0.72	8.698154986792244e-11
UC FBs	IGFBP5	4.9981953391701e-15	1.9791393912979613	0.795	0.341	1.0882570711975059e-10
UC FBs	PDPN	5.800241185113066e-13	0.861973694734104	0.591	0.134	1.262886513234668e-8
UC FBs	SULF1	9.023664781200682e-13	1.1967302909862556	0.581	0.134	1.9647225328108247e-8
UC FBs	C1R	1.0094814280534793e-11	0.8061179798981357	0.902	0.756	2.1979439133008406e-7
UC FBs	FHL2	3.1113904962473706e-11	0.7384128784633871	0.633	0.207	6.7744305274794e-7
UC FBs	TAGLN	1.3530618169016867e-10	1.035787382961423	0.749	0.341	2.9460214939400424e-6
UC FBs	CTGF	3.85516276699777e-10	0.898956139581913	0.786	0.439	8.393845892584244e-6
UC FBs	THY1	7.89886035017379e-10	1.024370591160765	0.498	0.122	1.7198188640433393e-5
UC FBs	BGN	2.9978923729599284e-9	0.7916117500681865	0.428	0.073	6.527311063645652e-5
UC FBs	COL1A2	3.4444904033729134e-9	0.9430364004560778	0.953	0.78	7.499688955263844e-5
UC FBs	NEXN	3.80519724335635e-9	0.6224917982993805	0.609	0.232	8.285055957959781e-5
UC FBs	C1S	4.849408584201994e-9	0.5979781868016907	0.916	0.695	1.0558617310383002e-4
UC FBs	ACTA2	5.68713680844397e-9	0.9320511176392343	0.702	0.28	1.2382602973025057e-4
UC FBs	SERPINF1	5.744293213748233e-9	0.7773971757888258	0.819	0.561	1.2507049614294028e-4
UC FBs	CALD1	7.036641651304524e-9	0.5920881438195704	0.949	0.744	1.532087986738534e-4
UC FBs	RGS10	7.874565684568808e-9	-0.5838208866336683	0.614	0.817	1.7145291865011667e-4
UC FBs	MYL9	8.337533261987052e-9	0.6494330308918269	0.795	0.463	1.815331117132441e-4
UC FBs	TIMP1	1.094607299696901e-8	0.8483332087547628	0.921	0.805	2.3832884736300623e-4
UC FBs	HLA-DMB	1.11235417509407e-8	-0.5904930264998619	0	0.146	2.4219287454323187e-4
UC FBs	HLA-DQA1	2.1278855564801577e-8	-1.2162614868698818	0.005	0.159	4.633045222124247e-4
UC FBs	IFITM3	2.28264861922588e-8	0.5227128394797838	0.935	0.854	4.970010838640509e-4
UC FBs	TPM1	2.716845381475458e-8	0.6471242683519192	0.828	0.561	5.915387449086514e-4
UC FBs	HLA-DRB1	3.0006738313578745e-8	-2.5751983144441595	0.009	0.171	6.5333671330155e-4
UC FBs	TIMP3	4.084978310135144e-8	0.8543323038116216	0.619	0.28	8.89422327465725e-4
UC FBs	LST1	4.762317498924403e-8	-0.46081520319132935	0	0.134	0.0010368993890408102
UC FBs	APOE	4.8742957302160824e-8	-0.8445720232308433	0.247	0.549	0.0010612804093399475
UC FBs	RARRES2	5.115508664184814e-8	0.7034569686769101	0.926	0.744	0.0011137997014529595
UC FBs	ALDH1A3	5.671411459924395e-8	0.6585183861143304	0.512	0.159	0.0012348364171693386
UC FBs	MT1G	6.068734721019573e-8	-0.32598732290591104	0.028	0.22	0.0013213456108075916
UC FBs	GGT5	7.926040443773835e-8	0.43908906123022146	0.4	0.085	0.001725736785822877
UC FBs	CAVIN1	8.497761693935625e-8	0.47441645838152435	0.614	0.268	0.0018502176536206035
UC FBs	CLEC7A	9.067733101890946e-8	-0.37613211596129054	0.005	0.146	0.001974317528274716
UC FBs	HLA-DQB1	9.176534837236124e-8	-0.7244388102295064	0.005	0.146	0.001998006930111421
UC FBs	TPM4	9.419637659590636e-8	0.4709502504050378	0.823	0.61	0.0020509377076226693
UC FBs	FERMT2	9.704242522288615e-8	0.387784135486862	0.619	0.268	0.0021129047243779
UC FBs	NNMT	9.77992147594967e-8	0.2747885614420993	0.842	0.561	0.0021293823029585215
UC FBs	C5AR1	1.3395722577028346e-7	-0.6716177625553342	0.009	0.159	0.002916650676696382
UC FBs	THBS2	1.5127557215126248e-7	0.5536177692868691	0.274	0	0.003293723032449438
UC FBs	CDH11	1.6039651181575787e-7	0.45013246425514475	0.688	0.354	0.0034923132517644963
UC FBs	IGSF6	2.027522608468045e-7	-0.3028109540480811	0	0.122	0.004414524975417475
UC FBs	MS4A6A	2.0280542129559032e-7	-0.5630940523117475	0	0.122	0.004415682437868888
UC FBs	LGALS1	2.056050473472456e-7	0.6310197562914053	0.963	0.915	0.0044766386958915785
UC FBs	TPM2	2.511987373193999e-7	0.6147812561170616	0.907	0.732	0.005469350107655295
UC FBs	CCL11	2.770133490794415e-7	2.1131686595381725	0.265	0	0.00603141164950668
UC FBs	LTBP2	3.227986598959618e-7	0.49648355241020264	0.386	0.085	0.007028295221914777
UC FBs	SPON2	3.5129933953362855e-7	0.6587643583207111	0.577	0.256	0.007648840519665695
UC FBs	ADAMTSL3	3.5407095505898083e-7	0.4008030950023531	0.26	0	0.00770918690449919
UC FBs	ARID5B	3.658821344493359e-7	0.47804858268272254	0.633	0.293	0.007966351713365391
UC FBs	JAML	3.835122128686685e-7	-0.4939151516176741	0.005	0.134	0.008350211410789518
UC FBs	AEBP1	3.8770982145344877e-7	0.4484222891945817	0.814	0.524	0.008441605942505941
UC FBs	CD86	4.060091248044893e-7	-0.21361318646351568	0.005	0.134	0.008840036674368145
UC FBs	CYBB	4.4083179648262684e-7	-0.4157056250257986	0.005	0.134	0.009598230704816234
UC FBs	IGFBP4	4.986815806955064e-7	0.7301252157590712	0.53	0.256	0.01085779405648326
UC FBs	BEX3	5.103972789245771e-7	0.42630485839637033	0.628	0.317	0.011112879954024817
UC FBs	AIF1	5.197027665184501e-7	-1.0646603506649415	0.009	0.146	0.011315488335406214
UC FBs	CH25H	5.208715771622596e-7	0.6774367345389957	0.437	0.11	0.011340936849553878
UC FBs	MARCH1	8.585966191152748e-7	-0.16799173123912967	0	0.11	0.018694224187996877
UC FBs	CD36	8.587649062984792e-7	-0.19845093872383823	0	0.11	0.018697888304836787
UC FBs	VSIG4	8.590735050821165e-7	-0.3724042458472762	0	0.11	0.018704607426152924
UC FBs	RND3	8.61690249668549e-7	0.5100811606755866	0.586	0.28	0.018761581806033316
UC FBs	ZG16	8.622065563112069e-7	-0.6880711660586317	0.028	0.195	0.01877282335056391
