cell_type_epi_custom	Gene	key	Pathway	Normal	Tumor	diff
TC4	AREG	ligands	EGF	0.44939779568273713	0.9349487347740115	0.4855509390912744
TC1	AREG	ligands	EGF	0.21947671020535986	0.697414549245802	0.4779378390404422
TC4	EREG	ligands	EGF	0.049510512897138946	0.4226297512643366	0.3731192383671977
TC4	EFNA1	ligands	EPHRIN	0.2970630773828337	0.643494852076934	0.3464317746941003
TC1	EREG	ligands	EGF	0.04081718132310376	0.35771295974746864	0.3168957784243649
TC1	MET	receptors	HGF	0.14223981487430465	0.44060328608842125	0.2983634712141166
TC4	BMP4	ligands	BMP	0	0.2739204248387435	0.2739204248387435
Stem	EFNA1	ligands	EPHRIN	0.3134125405193436	0.57840329675558	0.2649907562362364
TC4	MET	receptors	HGF	0.2765143579219922	0.5332475136202987	0.25673315569830646
TC3	EPHB3	receptors	EPHRIN	0.05301063518426198	0.2627272703974887	0.20971663521322675
TC3	MET	receptors	HGF	0.0557182157123518	0.26109265389061687	0.20537443817826506
TC3	EFNA1	ligands	EPHRIN	0.14053523200717097	0.34141766795690465	0.20088243594973368
Tuft	EFNA1	ligands	EPHRIN	0.09680009422609735	0.2952497209845983	0.19844962675850092
Stem/TA 1	VEGFA	ligands	VEGF	0.6478088439955698	0.8462000945932361	0.19839125059766627
TC1	BMP7	ligands	BMP	0.002885280948837448	0.19686199146070751	0.19397671051187007
TC3	AREG	ligands	EGF	0.30694900732795305	0.49187349125206636	0.18492448392411331
TC1	VEGFA	ligands	VEGF	0.36948299780931476	0.552417259990345	0.1829342621810302
TC4	EFNA3	ligands	EPHRIN	0	0.18152888772632791	0.18152888772632791
Enterocytes 2	AREG	ligands	EGF	0.4123339410425425	0.5856657795310279	0.17333183848848543
Stem/TA 3	EREG	ligands	EGF	0.005287035425080851	0.1736478112293553	0.16836077580427444
TC3	EREG	ligands	EGF	0.010602127036852397	0.17803772070906448	0.16743559367221209
Enterocytes 3	AREG	ligands	EGF	0.30559714917600334	0.46667002618674575	0.1610728770107424
TC4	BMPR2	receptors	BMP	0.049510512897138946	0.20871427527945274	0.1592037623823138
Enterocytes 1	EFNA1	ligands	EPHRIN	0.5521568686666657	0.7102342197035922	0.15807735103692655
Stem/TA 1	EPHB3	receptors	EPHRIN	0.03597313977062946	0.18733515031252146	0.151362010541892
TC4	TGFBR2	receptors	TGFB	0.12798281923057536	0.2787433887900438	0.15076056955946843
TC4	TNFRSF10A	receptors	TRAIL	0	0.14792628031939808	0.14792628031939808
TC4	FZD3	receptors	WNT	0	0.14603634824894415	0.14603634824894415
Stem/TA 3	AREG	ligands	EGF	0.1704488397326442	0.3132025875910348	0.14275374785839062
TC2	EFNA1	ligands	EPHRIN	0.11347112313729024	0.25579282384479424	0.142321700707504
TC2	MET	receptors	HGF	0.019946681454962454	0.15630004872722916	0.1363533672722667
TC1	TGFBR2	receptors	TGFB	0.08548252951797747	0.21958173198289627	0.1340992024649188
TC1	FZD3	receptors	WNT	0.052186825200518566	0.18321809274013687	0.1310312675396183
TC3	EPHB2	receptors	EPHRIN	0.05981967831921538	0.1898736016041112	0.13005392328489584
TC1	BMP4	ligands	BMP	0.00846617612242799	0.136920575468088	0.12845439934566
TC1	EPHB3	receptors	EPHRIN	0.22235475450438327	0.3479204531591345	0.12556569865475123
Enterocytes 1	MET	receptors	HGF	0.043568314216459805	0.16894164086770586	0.12537332665124606
TC3	BMP4	ligands	BMP	0.027007977464306724	0.14838619782108287	0.12137822035677615
Stem/TA 2	EPHB3	receptors	EPHRIN	0.08666788576409552	0.20786750503196966	0.12119961926787413
Ent. Prog. 1	EFNA1	ligands	EPHRIN	0.23171180763758795	0.35245879981045664	0.12074699217286869
TC3	LGR5	receptors	WNT AMP	0.008202925213727163	0.125822244427793	0.11761931921406583
Enterocytes 2	EFNA1	ligands	EPHRIN	0.4037513410744795	0.5202279436937954	0.11647660261931592
Tuft	HBEGF	ligands	EGF	0.030356625739120423	0.14565443533851982	0.11529780959939939
TC3	VEGFA	ligands	VEGF	0.4868970672202155	0.6007488604509998	0.11385179323078437
TC3	EPHA2	receptors	EPHRIN	0.06701728378859108	0.18075680144980152	0.11373951766121045
TC4	EPHB2	receptors	EPHRIN	0.14853153869141686	0.2620022968353294	0.11347075814391253
TC3	NOTCH1	receptors	NOTCH	0.072821007179193	0.18341242158276277	0.11059141440356977
TC4	EPHB3	receptors	EPHRIN	0.09902102579427789	0.2082262406284093	0.10920521483413141
Stem/TA 1	AREG	ligands	EGF	0.38055960817079404	0.4878926762541203	0.10733306808332627
TC2	VEGFA	ligands	VEGF	0.3899149011773041	0.4963186027139016	0.1064037015365975
