cell_type_imm_custom	Gene	key	Pathway	Normal	Tumor	diff
Mast	AREG	ligands	EGF	0.8594540486952205	2.083046917571492	1.2235928688762716
Mast	VEGFA	ligands	VEGF	0.26770394383040497	0.49817202570285946	0.2304680818724545
Monocyte	VEGFA	ligands	VEGF	0.4200031388715499	0.6486057244473202	0.22860258557577035
Mast	TNFSF10	ligands	TRAIL	0.5437583995307764	0.7676206312363733	0.22386223170559683
Treg	TNFRSF1B	receptors	TNFSF10	0.5605246420561981	0.7699037684705905	0.20937912641439238
Monocyte	TNFRSF1B	receptors	TNFSF10	0.712210267485307	0.9035396909943296	0.1913294235090226
Mast	VEGFB	ligands	VEGF	0.0962925839558394	0.2644455519200898	0.1681529679642504
Monocyte	EREG	ligands	EGF	0.8408645274441283	0.9596954553901005	0.11883092794597216
Treg	TNFSF10	ligands	TRAIL	0.06997546079642332	0.17865135992215983	0.10867589912573651
GC B cells	AREG	ligands	EGF	0.055451774444795626	0.15502291846512015	0.09957114402032452
CD8+ T 2	TNFRSF1B	receptors	TNFSF10	0.6680266487745112	0.7622403257302788	0.09421367695576754
GC B cells	TGFB1	ligands	TGFB	0.13095791417994157	0.22067829258316923	0.08972037840322766
Plasma K 3	TGFB1	ligands	TGFB	0.07701635339554948	0.16545599122411977	0.0884396378285703
Tconv	TNFRSF1B	receptors	TNFSF10	0.1966865272645555	0.28037237619879574	0.08368584893424025
Monocyte	HBEGF	ligands	EGF	0.7576903274687157	0.8369978308339513	0.07930750336523562
Plasma K 2	TNFRSF1B	receptors	TNFSF10	0.022069104978071245	0.0954169263251945	0.07334782134712325
Treg	TNF	ligands	TNFSF10	0.0685312762667108	0.14174354225734012	0.07321226599062933
B cells	TNF	ligands	TNFSF10	0.11222611661963074	0.18403030337950751	0.07180418675987678
Mast	TGFB1	ligands	TGFB	0.10078973711884896	0.16403857688045803	0.06324883976160907
CD8+ T 2	TNF	ligands	TNFSF10	0.21734285120246108	0.2787855542349489	0.061442703032487805
CD8+ T 2	TNFSF10	ligands	TRAIL	0.2857333180378958	0.345776263043918	0.0600429450060222
Monocyte	WNT5A	ligands	WNT	0.028139455725250024	0.08681786665401484	0.058678410928764815
GC B cells	IGF1	ligands	IGF	0.04394449154672439	0.09916104079324883	0.05521654924652444
Plasma K 2	VEGFA	ligands	VEGF	0.09221614852703545	0.14621771894089675	0.05400157041386129
Tconv	TGFB1	ligands	TGFB	0.15065915475329197	0.20228159188447772	0.05162243713118575
Tconv	TNF	ligands	TNFSF10	0.18543661048498114	0.23562128680395814	0.050184676318976995
GC B cells	TNFRSF1B	receptors	TNFSF10	0	0.04958052039662442	0.04958052039662442
Monocyte	AREG	ligands	EGF	1.2123253096095998	1.2599775632937928	0.04765225368419301
Plasma K 2	TNF	ligands	TNFSF10	0.020753514623453508	0.0675769976050385	0.04682348298158499
CD8+ T 2	TGFB1	ligands	TGFB	0.26961514728347596	0.3161159450843439	0.04650079780086791
Plasma K 3	VEGFA	ligands	VEGF	0.03850817669777474	0.08407473713360003	0.04556656043582529
CD8+ T 1	TNFRSF1B	receptors	TNFSF10	0.3541979663790685	0.39776116869721245	0.04356320231814398
GC B cells	HBEGF	ligands	EGF	0	0.041264396175458386	0.041264396175458386
B cells	TGFB1	ligands	TGFB	0.13038563168088518	0.170918265662849	0.04053263398196383
Treg	LTA	ligands	TNFSF10	0.04539160139146867	0.08570777492407418	0.04031617353260551
B cells	TNFRSF1B	receptors	TNFSF10	0.08344440917411981	0.12320563261858888	0.03976122344446907
Mast	ACVR1B	receptors	TGFB	0.044748511681057215	0.08235415407581687	0.03760564239475965
GC B cells	ACVR1	receptors	TGFB	0.009241962407465937	0.04655466138089185	0.037312698973425915
GC B cells	PTCH2	receptors	HEDGEHOG	0.018483924814931874	0.05563223842808956	0.03714831361315768
Plasma K 3	FZD3	receptors	WNT	0	0.036486504842189654	0.036486504842189654
Mast	BMPR2	receptors	BMP	0.055519220393489666	0.09110340336646083	0.03558418297297117
Treg	NOTCH2	receptors	NOTCH	0.02996828322089708	0.0654045047597276	0.035436221538830526
Plasma K 3	HBEGF	ligands	EGF	0	0.03482642876289452	0.03482642876289452
Mast	NOTCH2	receptors	NOTCH	0.044748511681057215	0.07745171363654128	0.03270320195548407
Treg	HBEGF	ligands	EGF	0.019932406281721927	0.050540277711943714	0.030607871430221787
Plasma K 2	EPHB2	receptors	EPHRIN	0.0014737360323740863	0.02970263803653425	0.028228902004160165
Plasma K 3	BMPR2	receptors	BMP	0	0.027838365466707742	0.027838365466707742
GC B cells	WNT5B	ligands	WNT	0.009241962407465937	0.03620918107402699	0.026967218666561057
Plasma K 2	AREG	ligands	EGF	0.2892066903681622	0.31607436134002825	0.026867670971866042
Plasma K 2	NOTCH1	receptors	NOTCH	0.009333661538369214	0.03580428575273095	0.02647062421436174
Tconv	HBEGF	ligands	EGF	0.035715944879569486	0.06213612887704469	0.026420183997475206
Plasma K 3	TGFBR1	receptors	TGFB	0	0.02641124501886241	0.02641124501886241
GC B cells	VEGFA	ligands	VEGF	0.018483924814931874	0.04440778024319199	0.025923855428260114
Plasma K 2	EPHB3	receptors	EPHRIN	0.0014737360323740863	0.026940990293728186	0.0254672542613541
Monocyte	HGF	ligands	HGF	0.03206331161016775	0.05742170222463316	0.02535839061446541
CD8+ T 2	TNFRSF10B	receptors	TRAIL	0.05331901388922656	0.07727114515967969	0.023952131270453127
CD8+ T 2	HBEGF	ligands	EGF	0.035546009259484375	0.05918279249237291	0.023636783232888536
Monocyte	ACVR1	receptors	TGFB	0.03577533835148105	0.05910236607273271	0.023327027721251663
GC B cells	NOTCH2	receptors	NOTCH	0.06469373685226155	0.08793658260835127	0.023242845756089717
Monocyte	FLT1	receptors	VEGF	0.03037541437221759	0.05344243843809101	0.02306702406587342
CD8+ T 2	BMPR2	receptors	BMP	0.05331901388922656	0.07607246985779727	0.02275345596857071
Monocyte	TGFA	ligands	EGF	0.023667538431314895	0.046081328798243254	0.02241379036692836
Mast	JAG2	ligands	NOTCH	0	0.022210940104466358	0.022210940104466358
Monocyte	DLL1	ligands	NOTCH	0.017887669175740525	0.0398802619505081	0.021992592774767578
GC B cells	FZD5	receptors	WNT	0	0.02069096061372971	0.02069096061372971
Tconv	TNFSF10	ligands	TRAIL	0.13049548566205083	0.15060876659099617	0.02011328092894535
Treg	BMPR2	receptors	BMP	0.04031908806289679	0.059692290782382765	0.019373202719485977
CD8+ T 2	EPHA1	receptors	EPHRIN	0	0.019018117464449317	0.019018117464449317
Treg	TGFBR1	receptors	TGFB	0.04108829146517428	0.05964502789573337	0.018556736430559093
Monocyte	FZD7	receptors	WNT	0.011179793234837827	0.02846879807287811	0.017289004838040283
Treg	TNFRSF1A	receptors	TNFSF10	0.018079071574342395	0.03481975565523875	0.016740684080896358
Mast	ACVR1	receptors	TGFB	0.04077336356234972	0.057213839751579385	0.016440476189229662
Plasma K 2	EREG	ligands	EGF	0.001964981376498782	0.018304943148590106	0.016339961772091325
B cells	EPHA4	receptors	EPHRIN	0.008172895707810122	0.024503507189364334	0.01633061148155421
Mast	NOTCH1	receptors	NOTCH	0.02038668178117486	0.03627600948595621	0.01588932770478135
Mast	EFNB1	ligands	EPHRIN	0.006795560593724954	0.02246729172407177	0.015671731130346818
Plasma K 2	BMP2	ligands	BMP	0.0029474720647481726	0.018512307647985147	0.015564835583236975
GC B cells	FGFR4	receptors	FGF	0	0.015518220460297282	0.015518220460297282
GC B cells	FZD7	receptors	WNT	0	0.015518220460297282	0.015518220460297282
Plasma K 3	WNT4	ligands	WNT	0	0.015349051869511241	0.015349051869511241
Monocyte	FZD2	receptors	WNT	0.059822822059106856	0.07513880583477149	0.015315983775664635
Treg	TGFB1	ligands	TGFB	0.11816216318829117	0.13283464567324343	0.01467248248495226
Plasma K 2	LTA	ligands	TNFSF10	0.0068774348177457366	0.021459449256385977	0.01458201443864024
CD8+ T 2	FZD6	receptors	WNT	0	0.014440566261665526	0.014440566261665526
Plasma K 2	NOTCH2	receptors	NOTCH	0.027797099375949753	0.04220505149145476	0.014407952115505007
Treg	NOTCH1	receptors	NOTCH	0.05252322761227603	0.06676991946573789	0.014246691853461863
Plasma K 2	TNFRSF10B	receptors	TRAIL	0.015515965772832365	0.02898879101521706	0.013472825242384695
B cells	HBEGF	ligands	EGF	0.014436324991846605	0.027880405068824134	0.013444080076977529
GC B cells	EREG	ligands	EGF	0	0.013371339322597426	0.013371339322597426
CD8+ T 2	ACVR2B	receptors	TGFB	0	0.013241890959783106	0.013241890959783106
Tconv	NOTCH2	receptors	NOTCH	0.042975328099284185	0.056158274749061876	0.013182946649777691
Monocyte	TNFRSF1A	receptors	TNFSF10	0.33570815849409763	0.34840838624458553	0.012700227750487902
Monocyte	JAG1	ligands	NOTCH	0.006707875940902696	0.01928828858568337	0.012580412644780674
CD8+ T 1	NOTCH2	receptors	NOTCH	0.02833819163578721	0.04043331467429209	0.012095123038504883
CD8+ T 2	EFNA1	ligands	EPHRIN	0	0.012043215657900687	0.012043215657900687
Plasma K 3	DLL4	ligands	NOTCH	0	0.011974704540213333	0.011974704540213333
Mast	EREG	ligands	EGF	0.013591121187449907	0.02554560191505456	0.011954480727604654
Plasma K 2	EFNB2	ligands	EPHRIN	0.023255480905478524	0.03509043873141376	0.011834957825935234
CD8+ T 2	EREG	ligands	EGF	0	0.011552453009332421	0.011552453009332421
CD8+ T 2	WNT2B	ligands	WNT	0	0.011552453009332421	0.011552453009332421
CD8+ T 2	WNT6	ligands	WNT	0	0.011552453009332421	0.011552453009332421
Plasma K 2	PTCH1	receptors	HEDGEHOG	0.01846343783758054	0.030001756059061357	0.011538318221480819
Treg	EFNA1	ligands	EPHRIN	0.0018533347073795329	0.013379065764643637	0.011525731057264104
GC B cells	EPHB6	receptors	EPHRIN	0.009241962407465937	0.02069096061372971	0.011448998206263774
Plasma K 2	EGFR	receptors	EGF	0.003929962752997564	0.015357801540189274	0.01142783878719171
Mast	TNF	ligands	TNFSF10	0.11934528255548132	0.13072546869683585	0.011380186141354526
Monocyte	ACVR1B	receptors	TGFB	0.055690777396326004	0.06705482855866321	0.011364051162337206
Plasma K 2	WNT5A	ligands	WNT	0.001964981376498782	0.012917142453710595	0.010952161077211812
Mast	TGFBR1	receptors	TGFB	0.06231478098721462	0.07267882189439177	0.01036404090717715
GC B cells	EGFR	receptors	EGF	0	0.010345480306864855	0.010345480306864855
GC B cells	EPHA1	receptors	EPHRIN	0	0.010345480306864855	0.010345480306864855
GC B cells	LGR4	receptors	WNT AMP	0	0.010345480306864855	0.010345480306864855
Plasma K 1	VEGFA	ligands	VEGF	0.07004201215624559	0.08034403583104954	0.010302023674803956
Plasma K 3	FZD5	receptors	WNT	0	0.010170824152460208	0.010170824152460208
Plasma K 3	TNF	ligands	TNFSF10	0	0.009746739862744469	0.009746739862744469
Plasma K 2	ACVR1B	receptors	TGFB	0.0068774348177457366	0.016578131083428614	0.009700696265682877
Treg	EREG	ligands	EGF	0	0.009586909825794746	0.009586909825794746
CD8+ T 2	LTA	ligands	TNFSF10	0.09926156438225361	0.10877148043060397	0.009509916048350359
Monocyte	INHBA	ligands	TGFB	0	0.009422562526633208	0.009422562526633208
Mast	EFNA1	ligands	EPHRIN	0	0.009418980561819687	0.009418980561819687
Monocyte	EPHB1	receptors	EPHRIN	0	0.00939145199035661	0.00939145199035661
Mast	TGFA	ligands	EGF	0.006795560593724954	0.016164938523473654	0.0093693779297487
B cells	VEGFB	ligands	VEGF	0.1425398519416747	0.15185031813246172	0.009310466190787015
CD8+ T 1	EPHA1	receptors	EPHRIN	0.013175724925005489	0.02240080294620829	0.009225078021202801
Monocyte	TNFRSF10A	receptors	TRAIL	0.0441711115303339	0.05338428925120014	0.009213177720866238
Plasma K 2	FZD5	receptors	WNT	0.019649813764987818	0.02878142651582202	0.009131612750834201
Tconv	NOTCH1	receptors	NOTCH	0.04027109570824124	0.04937704908627484	0.009105953378033597
Plasma K 2	FGFR4	receptors	FGF	4.912453441246955e-4	0.009463518323387614	0.008972272979262919
Plasma K 2	LGR5	receptors	WNT AMP	0	0.008749671302070423	0.008749671302070423
Plasma K 2	EPHB6	receptors	EPHRIN	0.0029474720647481726	0.011696812910471253	0.00874934084572308
Mast	FLT1	receptors	VEGF	0	0.008719024181158419	0.008719024181158419
CD8+ T 2	BMP4	ligands	BMP	0	0.008664339756999316	0.008664339756999316
CD8+ T 2	FLT1	receptors	VEGF	0	0.008664339756999316	0.008664339756999316
Monocyte	EFNB2	ligands	EPHRIN	0.017456922747919483	0.026108939693378814	0.00865201694545933
Plasma K 2	TNFRSF1A	receptors	TNFSF10	0.008147285610961934	0.016578131083428614	0.00843084547246668
Treg	ACVR1	receptors	TGFB	0.02332414779365644	0.03175328451980732	0.008429136726150883
B cells	EPHB6	receptors	EPHRIN	0.03696031917039059	0.04523686481587647	0.008276545645485883
Plasma K 2	JAG2	ligands	NOTCH	9.82490688249391e-4	0.009256153823992573	0.008273663135743183
Plasma K 2	EPHA2	receptors	EPHRIN	0.0029474720647481726	0.011190330388549104	0.008242858323800933
CD8+ T 2	EPHA4	receptors	EPHRIN	0.017773004629742187	0.02599301927099795	0.008220014641255761
Plasma K 2	EPHB4	receptors	EPHRIN	4.912453441246955e-4	0.008542306802675382	0.008051061458550687
Tconv	TNFRSF10B	receptors	TRAIL	0.045282261445564805	0.05313794830762269	0.007855686862057884
CD8+ T 1	EPHA4	receptors	EPHRIN	0.019374134008034543	0.027177793914348033	0.0078036599063134905
CD8+ T 1	TNFRSF10A	receptors	TRAIL	0.017417904838028405	0.025194282211392936	0.007776377373364531
Plasma K 1	TNF	ligands	TNFSF10	0.0038152642254073847	0.011583129884942535	0.007767865659535151
Mast	FZD6	receptors	WNT	0	0.007732491071406194	0.007732491071406194
Mast	LRRC32	ligands	TGFB	0	0.007732491071406194	0.007732491071406194
Mast	LTBP1	ligands	TGFB	0	0.007732491071406194	0.007732491071406194
Monocyte	LRRC32	ligands	TGFB	0.0022359586469675656	0.009944775076269211	0.007708816429301645
Monocyte	EPHA2	receptors	EPHRIN	0.012487745196477067	0.02012214987755854	0.007634404681081472
GC B cells	BMP6	ligands	BMP	0.018483924814931874	0.02586370076716214	0.007379775952230265
Plasma K 2	BMP4	ligands	BMP	0	0.007321977259436042	0.007321977259436042
Plasma K 2	IGF1R	receptors	IGF	0.0068774348177457366	0.014137471996949934	0.007260037179204198
Monocyte	BMP2	ligands	BMP	0.0022359586469675656	0.009479575626228979	0.007243616979261413
Monocyte	VEGFB	ligands	VEGF	0.34928056059078827	0.3560414148780965	0.006760854287308216
Plasma K 3	EREG	ligands	EGF	0	0.006748694658595816	0.006748694658595816
Mast	LGR4	receptors	WNT AMP	0	0.006745957961653969	0.006745957961653969
